Unnamed: 0	capillary endothelial cell	cd4-positive alpha-beta t cell	cd8-positive alpha-beta t cell	endothelial cell of artery	endothelial cell of lymphatic vessel	endothelial cell of vascular tree	erythrocyte	fast muscle cell	macrophage	mast cell	mature nk t cell	mesenchymal stem cell	mesothelial cell	pericyte cell	skeletal muscle satellite stem cell	slow muscle cell	smooth muscle cell	t cell	tendon cell
248510_Mannosidosis, Beta A, Lysosomal	0.28631952906346775	0.5027413854313287	0.5358360573672376	0.21972041957562094	0.4651159592959168	0.5635746663936938	0.06449869228549907	-0.8867593199095728	0.4218728757077904	0.30683128190742515	0.5449518763451109	0.21550080932775428	1.5279349987764241	-0.26352371802106395	-0.6107770332146214	-1.047477580357377	0.11625753708085916	0.41430590630443886	-0.12566543665244623
160800_Myotonia Congenita, Autosomal Dominant	-1.2706967958358588	-0.9972059363038613	-0.9585536502823089	-1.362532241528576	-1.0421324953245448	-0.9267656009680152	-0.17872469854669068	6.650692762285649	-1.095091875416492	-1.243163332939014	-0.9480464438638087	-1.368477852450558	-0.987011056069563	-2.145131585618597	-2.2639102034410983	5.032178042808306	-1.512762585569413	-1.1045075325880906	-1.9009154429880544
PS146200_Hypoparathyroidism, familial	0.09569548846888234	4.741152094421	1.2452120812149732	0.02971064684667906	0.2708130729878044	0.36606107237833985	-0.12575743261982825	-1.127873361088934	0.22872164019214186	0.11593331379059459	0.3481065162074626	0.025515613686248908	0.3156916597173815	-0.4621961482884343	-0.8293589401955672	-1.3038946142135037	-0.07365151088498333	1.0584858277488167	-0.31950103077925074
PS614675_Bone marrow failure syndrome	-0.45135322430875874	1.5976741901767995	1.6690875251704738	-0.5219211684691274	-0.2700510190233496	-0.174969547593211	2.5077656566637447	-1.9404922200947068	-0.3128486444073778	1.1804800824453183	-0.1927088459481928	5.031806572182772	-0.2249498450337458	-1.0866380022164064	-1.5473790020539777	-2.1781798145485016	-0.6349766346374932	4.865239811751218	-0.9160398659665198
PS254800_Epilepsy, progressive myoclonic	0.21668206157278866	0.4309294322088024	0.4635619838227031	0.1504382552624697	0.39378920651571897	0.4908883689334126	-0.004563350034779606	-0.5499095334438979	0.3510495783093127	0.23705368216092468	0.4725448110004001	0.1462359600860804	0.43947443939217895	-0.3349813532978842	-0.6887561304252485	-0.7421756333818597	0.047218084336679005	0.34356463562252104	0.44272327335356265
PS213200_Spinocerebellar ataxia, autosomal recessive	0.2506012411048462	0.4658487358704506	0.49869750310142164	0.18420290504599104	0.428482314664909	0.5262172656305686	0.02913798605990497	-0.930308996334239	0.3855091761845573	0.2710354458662481	0.5077426703084188	0.1799933562493808	0.47444879550920677	-0.300017039977745	-0.6505089044558009	-1.0936550233663827	0.08089366538154914	1.3093093592320277	0.49192587023336504
603896_Leukoencephalopathy With Vanishing White Matter	-0.05389844979494425	0.15650040862276016	0.18802905762214564	-0.12020604589114081	0.12045540632782487	0.21433120199438224	-0.277774090933758	-1.3323941308036098	0.07875903345455275	0.6695559381086168	0.19668514206369217	1.8612674282297426	0.1647690340072966	3.747719798004862	-1.0124007742999555	-1.5226756690670888	-0.2247551506071694	0.07143250264556614	-0.47672288517139855
301500_Fabry Disease	0.6690125247981821	0.06016855424027423	-0.429692858879011	3.1403009121928127	2.0509351987387974	-0.4022568507471024	-0.5606164917625907	-2.121766356446117	-0.5460364924133644	-0.6697307263162663	-0.4206394985064048	-0.772667153244734	-0.45413820019959733	7.196602377442775	-1.903208576049997	-0.6890227022558698	-0.8894728851398949	-0.5539749488568562	-1.196440822448507
PS609308_Muscular dystrophy-dystroglycanopathy, type C	0.28631952906346775	0.5027413854313287	0.5358360573672376	0.21972041957562094	0.4651159592959168	0.5635746663936938	0.06449869228549907	-0.8867593199095728	0.4218728757077904	0.30683128190742515	0.5449518763451109	0.21550080932775428	0.5114041946028868	-0.26352371802106395	-0.10610864799171774	-1.047477580357377	0.11625753708085916	0.41430590630443886	-0.12566543665244623
601200_Pleuropulmonary Blastoma	0.28631952906346775	0.5027413854313287	0.5358360573672376	0.21972041957562094	0.4651159592959168	0.5635746663936938	0.06449869228549907	-0.8867593199095728	0.4218728757077904	0.30683128190742515	0.5449518763451109	0.21550080932775428	1.5279349987764241	-0.26352371802106395	-0.6107770332146214	-1.047477580357377	0.11625753708085916	0.41430590630443886	-0.12566543665244623
PS116200_Cataract	1.0530219699604424	0.4309294322088024	0.4635619838227031	0.1504382552624697	0.39378920651571897	0.4908883689334126	0.7175867929690941	-0.9723521726065039	0.3510495783093127	0.23705368216092468	0.4725448110004001	0.1462359600860804	1.4087682377728383	-0.3349813532978842	-0.6887561304252485	-1.1382946687365962	0.047218084336679005	0.34356463562252104	-0.19564536453437614
180800_Roussy-levy Hereditary Areflexic Dystasia	-0.30170671021396395	-0.08834591248908436	-0.056853012592171154	-0.3701091667589071	-0.12450179419478336	-0.030674694492802992	-0.5348521126153963	-0.22276502308666563	-0.16652992107954298	-0.2809081161167842	-0.048228276019018156	0.1839360419314031	-0.08007472252590347	-0.4981169518180884	-1.0011773030359372	1.1300511510421607	-0.47907875777904896	-0.17393739695260252	2.379976505915196
201475_Acyl-coa Dehydrogenase, Very Long-chain, Deficiency Of	0.18437871603408287	0.3977790154416088	0.43022149965111006	0.1182489850491126	0.3608361080257755	0.45737695071639295	-0.03677072204096334	0.22649392219111708	0.3182979485249791	0.20470086193624307	0.4391493099583269	0.11405149037594195	0.4062757477459184	-0.36856319032325735	-0.7256545311163236	-0.7941036554680391	0.015061583321979155	0.3108454243948669	-0.22842960074638377
605820_Nonaka Myopathy	0.18437871603408287	0.3977790154416088	0.43022149965111006	0.1182489850491126	0.3608361080257755	0.45737695071639295	-0.03677072204096334	-1.0130218076098392	0.3182979485249791	0.20470086193624307	0.4391493099583269	0.11405149037594195	0.4062757477459184	-0.36856319032325735	-0.7256545311163236	-0.01925167214069078	0.015061583321979155	0.3108454243948669	0.3959296966028099
PS268310_Robinow syndrome	0.28631952906346775	0.5027413854313287	0.5358360573672376	0.21972041957562094	1.4515924821644728	0.5635746663936938	0.06449869228549907	-0.8867593199095728	0.4218728757077904	0.30683128190742515	0.5449518763451109	0.21550080932775428	0.5114041946028868	-0.26352371802106395	-0.6107770332146214	-1.047477580357377	0.11625753708085916	0.41430590630443886	-0.12566543665244623
PS145000_Hyperparathyroidism	0.2506012411048462	0.4658487358704506	0.49869750310142164	0.18420290504599104	0.428482314664909	0.5262172656305686	0.02913798605990497	-0.930308996334239	0.3855091761845573	1.1387227146325403	0.5077426703084188	0.1799933562493808	0.47444879550920677	-0.300017039977745	-0.6505089044558009	-1.0936550233663827	0.08089366538154914	1.3093093592320277	-0.16144176628259505
